date,body feeling,feeling,energy level,todays headline,grateful for,walk,journal,keto,if,exercise,jump,mediation,mg,alcohol,headache,latesleep,interrupted sleep(tothinight)
12/06/2021,"dry,itchy",,,,,1,0,1,1,0,0,0,0,0,0,0,0
13/06/2021,migraine,,,,,1,0,1,1,0,0,0,0,0,1,0,0
14/06/2021,"determinate,calm,fasting",,,,,1,1,0,1,0,0,0,0,0,0,0,0
15/06/2021,"excited, fasting",,,,,1,1,1,1,0,0,0,0,0,0,0,0
16/06/2021,"happy, fasting",,,,,1,0,1,1,0,0,0,1,0,0,0,0
17/06/2021,"low, headache, rumbly stomach",,,,,1,0,1,1,0,0,0,1,0,1,0,0
20/06/2021,happy,,,,,1,0,0,1,1,0,0,0,0,0,0,0
20/06/2021,1,,,,,1,1,1,1,1,1,1,1,1,0,0,0
21/06/2021,"determinate, tired, coding",,,,,1,0,1,1,1,0,0,0,0,0,0,0
22/06/2021,"calm, fasting",,,,,1,0,1,1,1,0,0,0,0,0,0,0
23/06/2021,"low energy, moody",,,,,1,0,1,1,1,0,0,0,0,0,0,0
24/06/2021,"dry eyes, stuffed nose",,,,,1,0,1,1,1,0,0,1,0,1,0,1
25/06/2021,"fasting, determinate, anxious",,,,,1,0,1,1,1,0,0,0,0,0,0,0
26/06/2021,"chill, fasting, energetic",,,,,1,0,1,1,1,0,0,1,0,0,0,0
27/06/2021,happy,,,,,1,0,1,1,1,0,0,1,0,0,0,0
28/06/2021,anxious,,,,,1,0,1,1,1,0,0,1,0,0,0,0
29/06/2021,"excited, stressed",,,,,1,1,1,1,1,0,0,1,0,0,0,0
30/06/2021,restless,,,,,1,1,1,1,0,0,0,1,0,0,0,0
01/07/2021,"low, sleepy",,,,,1,1,1,1,1,0,0,1,0,0,0,0
02/07/2021,sleepy,,,,,1,1,1,1,1,0,0,0,0,1,0,0
03/07/2021,nervous,,,,,1,1,0,0,1,10,0,0,1,0,0,0
04/07/2021,"headache, slow",,,,,1,0,0,0,0,0,0,0,1,1,0,0
05/07/2021,"sleepy, down",,,,,1,1,0,1,1,0,0,1,0,0,0,1
06/07/2021,unmotivated,,,,,1,1,1,1,0,0,0,1,0,0,0,0
07/07/2021,"calm, hungry",,,,,1,0,1,1,0,0,0,1,0,0,0,1
08/07/2021,energised,,,,,1,0,0,0,0,0,0,1,1,0,0,0
09/07/2021,"emotional, cry",,,,,1,1,0,0,0,0,0,1,0,0,0,0
10/07/2021,happy,,,,,1,0,0,0,0,0,0,1,1,0,0,0
12/07/2021,coding,,,,,1,0,0,0,0,0,0,1,0,0,0,0
13/07/2021,low energy,,,,,1,1,0,0,0,0,0,1,1,0,0,0
14/07/2021,migraine,,,,,1,0,0,0,0,0,0,1,0,1,0,0
15/07/2021,low energy,,,,,1,0,0,0,0,0,0,1,0,1,0,0
